step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
0	0.0100	0.9800	0.0200	0.0000	0	0	1	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	1	1	2	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	2	2	3	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	3	3	4	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	4	4	5	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	5	5	6	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	6	6	7	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	7	7	8	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	8	8	9	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	9	9	10	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	10	10	11	0	0.000000e0	0.000000e0	0.000000e0
0	0.0100	0.9800	0.0200	0.0000	11	6	12	1	0.000000e0	0.000000e0	0.000000e0
1	0.0300	0.9400	0.0600	0.0000	0	0	1	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	1	1	2	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	2	2	3	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	3	3	4	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	4	4	5	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	5	5	6	0	2.442402e-48	2.442402e-48	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	6	6	7	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	7	7	8	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	8	8	9	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	9	9	10	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	10	10	11	0	0.000000e0	0.000000e0	2.442402e-48
1	0.0300	0.9400	0.0600	0.0000	11	6	12	1	0.000000e0	0.000000e0	2.442402e-48
2	0.0500	0.9000	0.1000	0.0000	0	0	1	0	0.000000e0	0.000000e0	6.498223e-29
2	0.0500	0.9000	0.1000	0.0000	1	1	2	0	0.000000e0	0.000000e0	6.498223e-29
