step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
0	0.0100	0.9800	0.0200	0.0000	0	0	1	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	1	0	2	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	2	0	4	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	3	0	7	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	4	0	9	0	8.637446e-11	8.637446e-11	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	5	6	9	0	1.774400e-37	1.774400e-37	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	6	8	9	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	7	9	10	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	8	5	8	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	9	3	4	0	5.249431e-37	5.249431e-37	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	10	3	11	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	11	3	12	0	0.000000e0	0.000000e0	8.637446e-11
0	0.0100	0.9800	0.0200	0.0000	12	6	13	1	0.000000e0	0.000000e0	8.637446e-11
1	0.0300	0.9400	0.0600	0.0000	0	0	1	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	1	0	2	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	2	0	4	0	2.530095e-16	2.530095e-16	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	3	0	7	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	4	0	9	0	3.318421e-8	3.327058e-8	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	5	6	9	0	0.000000e0	1.774400e-37	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	6	8	9	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	7	9	10	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	8	5	8	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	9	3	4	0	6.492844e-37	1.174227e-36	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	10	3	11	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	11	3	12	0	0.000000e0	0.000000e0	3.318421e-8
1	0.0300	0.9400	0.0600	0.0000	12	6	13	1	0.000000e0	0.000000e0	3.318421e-8
2	0.0500	0.9000	0.1000	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	2	0	4	0	1.654736e-13	1.657266e-13	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	3	0	7	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	4	0	9	0	1.046606e-6	1.079877e-6	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	5	6	9	0	0.000000e0	1.774400e-37	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	6	8	9	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	7	9	10	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	8	5	8	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	9	3	4	0	3.905176e-36	5.079403e-36	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	10	3	11	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	11	3	12	0	0.000000e0	0.000000e0	1.046606e-6
2	0.0500	0.9000	0.1000	0.0000	12	6	13	1	0.000000e0	0.000000e0	1.046606e-6
3	0.0700	0.8600	0.1400	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	2	0	4	0	1.053744e-11	1.070316e-11	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	3	0	7	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	4	0	9	0	1.025374e-5	1.133361e-5	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	5	6	9	0	0.000000e0	1.774400e-37	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	6	8	9	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	7	9	10	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	8	5	8	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	9	3	4	0	1.192736e-35	1.700676e-35	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	10	3	11	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	11	3	12	0	0.000000e0	0.000000e0	1.025375e-5
3	0.0700	0.8600	0.1400	0.0000	12	6	13	1	0.000000e0	0.000000e0	1.025375e-5
4	0.0900	0.8200	0.1800	0.0000	0	0	1	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	1	0	2	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	2	0	4	0	2.876166e-10	2.983198e-10	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	3	0	7	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	4	0	9	0	5.733767e-5	6.867129e-5	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	5	6	9	0	0.000000e0	1.774400e-37	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	6	8	9	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	7	9	10	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	8	5	8	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	9	3	4	0	1.462264e-35	3.162940e-35	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	10	3	11	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	11	3	12	0	0.000000e0	0.000000e0	5.733796e-5
4	0.0900	0.8200	0.1800	0.0000	12	6	13	1	0.000000e0	0.000000e0	5.733796e-5
5	0.1100	0.7800	0.2200	0.0000	0	0	1	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	1	0	2	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	2	0	4	0	3.377520e-9	3.675840e-9	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	3	0	7	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	4	0	9	0	2.198541e-4	2.885254e-4	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	5	6	9	0	0.000000e0	1.774400e-37	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	6	8	9	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	7	9	10	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	8	5	8	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	9	3	4	0	7.844109e-35	1.100705e-34	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	10	3	11	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	11	3	12	0	0.000000e0	0.000000e0	2.198575e-4
5	0.1100	0.7800	0.2200	0.0000	12	6	13	1	0.000000e0	0.000000e0	2.198575e-4
6	0.1300	0.7400	0.2600	0.0000	0	0	1	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	1	0	2	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	2	0	4	0	2.638442e-8	3.006026e-8	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	3	0	7	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	4	0	9	0	6.468998e-4	9.354252e-4	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	5	6	9	0	0.000000e0	1.774400e-37	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	6	8	9	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	7	9	10	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	8	5	8	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	9	3	4	0	3.046807e-34	4.147512e-34	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	10	3	11	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	11	3	12	0	0.000000e0	0.000000e0	6.469262e-4
6	0.1300	0.7400	0.2600	0.0000	12	6	13	1	0.000000e0	0.000000e0	6.469262e-4
7	0.1500	0.7000	0.3000	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	2	0	4	0	1.009158e-7	1.309761e-7	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	3	0	7	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	4	0	9	0	1.567750e-3	2.503176e-3	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	5	6	9	0	0.000000e0	1.774400e-37	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	6	8	9	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	7	9	10	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	8	5	8	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	9	3	4	0	2.094189e-34	6.241700e-34	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	10	3	11	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	11	3	12	0	0.000000e0	0.000000e0	1.567851e-3
7	0.1500	0.7000	0.3000	0.0000	12	6	13	1	0.000000e0	0.000000e0	1.567851e-3
8	0.1700	0.6600	0.3400	0.0000	0	0	1	0	0.000000e0	0.000000e0	3.276537e-3
8	0.1700	0.6600	0.3400	0.0000	1	0	2	0	0.000000e0	0.000000e0	3.276537e-3
8	0.1700	0.6600	0.3400	0.0000	2	0	4	0	3.508664e-7	4.818425e-7	3.276537e-3
8	0.1700	0.6600	0.3400	0.0000	3	0	7	0	0.000000e0	0.000000e0	3.276537e-3
8	0.1700	0.6600	0.3400	0.0000	4	0	9	0	3.276186e-3	5.779362e-3	3.276537e-3
8	0.1700	0.6600	0.3400	0.0000	5	6	9	0	0.000000e0	1.774400e-37	3.276537e-3
8	0.1700	0.6600	0.3400	0.0000	6	8	9	0	0.000000e0	0.000000e0	3.276537e-3
8	0.1700	0.6600	0.3400	0.0000	7	9	10	0	0.000000e0	0.000000e0	3.276537e-3
