step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
0	0.0100	0.9800	0.0200	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	2	0	4	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	3	0	7	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	4	0	9	0	1.770882e-9	1.770882e-9	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	5	6	9	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	6	8	9	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	7	9	10	0	6.689896e-11	6.689896e-11	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	8	10	11	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	9	10	12	0	5.624833e-11	5.624833e-11	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	10	12	13	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	11	12	14	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	12	12	15	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	13	3	14	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	14	5	6	0	0.000000e0	0.000000e0	1.894029e-9
0	0.0100	0.9800	0.0200	0.0000	15	10	16	1	0.000000e0	0.000000e0	1.894029e-9
1	0.0300	0.9400	0.0600	0.0000	0	0	1	0	0.000000e0	0.000000e0	8.402997e-7
1	0.0300	0.9400	0.0600	0.0000	1	0	2	0	0.000000e0	0.000000e0	8.402997e-7
