flux,eigenvalue
0.0000000000,-2.7867018380
0.0000000000,-2.6268960584
0.0000000000,-2.6268960584
0.0000000000,-2.4820803636
0.0000000000,-2.4820803636
0.0000000000,-2.3508428209
0.0000000000,-2.3508428209
0.0000000000,-2.2483976780
0.0000000000,-2.1890364401
0.0000000000,-2.1890364401
0.0000000000,-2.0657775663
0.0000000000,-2.0657775663
0.0000000000,-1.9935504108
0.0000000000,-1.9935504108
0.0000000000,-1.8778503466
0.0000000000,-1.8778503466
0.0000000000,-1.8370813160
0.0000000000,-1.8047203401
0.0000000000,-1.7082398162
0.0000000000,-1.7082398162
0.0000000000,-1.6881676150
0.0000000000,-1.6881676150
0.0000000000,-1.5838758697
0.0000000000,-1.5838758697
0.0000000000,-1.5747646181
0.0000000000,-1.5747646181
0.0000000000,-1.5267476302
0.0000000000,-1.4783311442
0.0000000000,-1.4783311442
0.0000000000,-1.3682282318
0.0000000000,-1.3682282318
0.0000000000,-1.3614908519
0.0000000000,-1.3614908519
0.0000000000,-1.2781233536
0.0000000000,-1.2781233536
0.0000000000,-1.2347517077
0.0000000000,-1.2347517077
0.0000000000,-1.1532993254
0.0000000000,-1.1532993254
0.0000000000,-1.1266080546
0.0000000000,-1.1266080546
0.0000000000,-1.1085564842
0.0000000000,-0.8869283311
0.0000000000,-0.8306389156
0.0000000000,-0.8306389156
0.0000000000,-0.4262977012
0.0000000000,-0.4262977012
0.0000000000,-0.3073367238
0.0000000000,-0.3073367238
0.0000000000,-0.1207221277
0.0000000000,-0.1207221277
0.0000000000,-0.0000000000
0.0000000000,0.0200974134
0.0000000000,0.0200974134
0.0000000000,0.0849072609
0.0000000000,0.1077268209
0.0000000000,0.1077268209
0.0000000000,0.1729180072
0.0000000000,0.1729180072
0.0000000000,0.2780730177
0.0000000000,0.2780730177
0.0000000000,0.3440776795
0.0000000000,0.3440776795
0.0000000000,0.4809780895
0.0000000000,0.4809780895
0.0000000000,0.5316332638
0.0000000000,0.5497701832
0.0000000000,0.6278394359
0.0000000000,0.6278394359
0.0000000000,0.7000999667
0.0000000000,0.7000999667
0.0000000000,0.7775992430
0.0000000000,0.7775992430
0.0000000000,0.9331592271
0.0000000000,0.9331592271
0.0000000000,1.0938827377
0.0000000000,1.0938827377
0.0000000000,1.1175406108
0.0000000000,1.1645887974
0.0000000000,1.1645887974
0.0000000000,1.1899190758
0.0000000000,1.1899190758
0.0000000000,1.2813668936
0.0000000000,1.2813668936
0.0000000000,1.3289233446
0.0000000000,1.3690951916
0.0000000000,1.3690951916
0.0000000000,1.5158950568
0.0000000000,1.5158950568
0.0000000000,1.8359646185
0.0000000000,1.8359646185
0.0000000000,2.0085981744
0.0000000000,2.0085981744
0.0000000000,2.0105547399
0.0000000000,2.0280680754
0.0000000000,2.0280680754
0.0000000000,2.0704930723
0.0000000000,2.0704930723
0.0000000000,2.0850811918
0.0000000000,2.0895820708
0.0000000000,2.0895820708
0.0000000000,2.1038769946
0.0000000000,2.1038769946
0.0000000000,2.2514250581
0.0000000000,2.2514250581
0.0000000000,2.4074584467
0.0000000000,2.4074584467
0.0000000000,2.4648001344
0.0000000000,2.4648001344
0.0000000000,2.4907230226
0.0000000000,2.5093267644
0.0000000000,2.5093267644
0.0020000000,-2.7867016010
0.0020000000,-2.6271205271
0.0020000000,-2.6266711770
0.0020000000,-2.4823991089
0.0020000000,-2.4817612919
0.0020000000,-2.3511889894
0.0020000000,-2.3504969541
0.0020000000,-2.2483975803
0.0020000000,-2.1894090113
0.0020000000,-2.1886632279
0.0020000000,-2.0661962132
0.0020000000,-2.0653588330
0.0020000000,-1.9936945260
0.0020000000,-1.9934082051
0.0020000000,-1.8778779036
0.0020000000,-1.8778207899
0.0020000000,-1.8370866498
0.0020000000,-1.8047149225
0.0020000000,-1.7086632885
0.0020000000,-1.7078162323
0.0020000000,-1.6884206673
0.0020000000,-1.6879144429
0.0020000000,-1.5841547711
0.0020000000,-1.5835975520
0.0020000000,-1.5751596835
0.0020000000,-1.5743696848
0.0020000000,-1.5267474397
0.0020000000,-1.4783894274
0.0020000000,-1.4782754995
0.0020000000,-1.3682501544
0.0020000000,-1.3682037679
0.0020000000,-1.3616578324
