flux,eigenvalue
0.0000000000,-3.7587704831
0.0000000000,-3.4114741278
0.0000000000,-3.4114741278
0.0000000000,-3.0641777725
0.0000000000,-2.8793852416
0.0000000000,-2.8793852416
0.0000000000,-2.5320888862
0.0000000000,-2.5320888862
0.0000000000,-2.2266815969
0.0000000000,-2.2266815969
0.0000000000,-2.0000000000
0.0000000000,-1.8793852416
0.0000000000,-1.8793852416
0.0000000000,-1.5320888862
0.0000000000,-1.5320888862
0.0000000000,-1.3472963553
0.0000000000,-1.3472963553
0.0000000000,-1.1847925309
0.0000000000,-1.1847925309
0.0000000000,-0.8793852416
0.0000000000,-0.8793852416
0.0000000000,-0.6945927107
0.0000000000,-0.6527036447
0.0000000000,-0.6527036447
0.0000000000,-0.5320888862
0.0000000000,-0.5320888862
0.0000000000,-0.3472963553
0.0000000000,-0.3472963553
0.0000000000,-0.0000000000
0.0000000000,-0.0000000000
0.0000000000,-0.0000000000
0.0000000000,-0.0000000000
0.0000000000,-0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.0000000000
0.0000000000,0.3472963553
0.0000000000,0.3472963553
0.0000000000,0.5320888862
0.0000000000,0.5320888862
0.0000000000,0.6527036447
0.0000000000,0.6527036447
0.0000000000,0.6945927107
0.0000000000,0.8793852416
0.0000000000,0.8793852416
0.0000000000,1.1847925309
0.0000000000,1.1847925309
0.0000000000,1.3472963553
0.0000000000,1.3472963553
0.0000000000,1.5320888862
0.0000000000,1.5320888862
0.0000000000,1.8793852416
0.0000000000,1.8793852416
0.0000000000,2.0000000000
0.0000000000,2.2266815969
0.0000000000,2.2266815969
0.0000000000,2.5320888862
0.0000000000,2.5320888862
0.0000000000,2.8793852416
0.0000000000,2.8793852416
0.0000000000,3.0641777725
0.0000000000,3.4114741278
0.0000000000,3.4114741278
0.0000000000,3.7587704831
0.0020000000,-3.7585774315
0.0020000000,-3.4226597974
0.0020000000,-3.3997494578
0.0020000000,-3.0664690664
0.0020000000,-2.8791797104
0.0020000000,-2.8764982502
0.0020000000,-2.5532304302
0.0020000000,-2.5125397632
0.0020000000,-2.2256359160
0.0020000000,-2.2251615191
0.0020000000,-2.0081406131
0.0020000000,-1.8802889027
0.0020000000,-1.8717317455
0.0020000000,-1.5309120563
0.0020000000,-1.5308314318
0.0020000000,-1.3761280115
0.0020000000,-1.3253546692
0.0020000000,-1.1821095244
0.0020000000,-1.1820844755
0.0020000000,-0.8781775191
0.0020000000,-0.8781134771
0.0020000000,-0.7177282803
0.0020000000,-0.6572020852
0.0020000000,-0.6337802155
0.0020000000,-0.5289240328
0.0020000000,-0.5287526844
0.0020000000,-0.3458454117
0.0020000000,-0.3458314282
